date,open,high,low,close,volume,amount
2025-07-11,13.19,13.3,12.89,12.91,2443743,3200219.566
2025-07-14,12.87,13.17,12.86,12.98,1872895,2440924.105
2025-07-15,12.99,13.04,12.71,12.73,1810531,2322277.285
2025-07-16,12.73,12.76,12.5,12.64,1927863,2424983.973
2025-07-17,12.61,12.7,12.54,12.59,944641,1189666.227
2025-07-18,12.62,12.75,12.6,12.7,1241206,1574176.824
2025-07-21,12.64,12.71,12.55,12.61,1079026,1360155.719
2025-07-22,12.6,12.6,12.32,12.49,1935229,2408337.286
2025-07-23,12.46,12.63,12.45,12.53,1370520,1719158.803
2025-07-24,12.53,12.53,12.33,12.35,1959350,2426175.236
2025-07-25,12.33,12.46,12.32,12.35,1108266,1372103.731
2025-07-28,12.35,12.53,12.32,12.46,1238242,1541317.047
2025-07-29,12.46,12.51,12.34,12.34,1012818,1255113.972
2025-07-30,12.35,12.64,12.34,12.49,1715163,2149934.405
2025-07-31,12.51,12.55,12.22,12.23,1690081,2079630.602
2025-08-01,12.24,12.33,12.15,12.28,1012186,1240239.18
2025-08-04,12.24,12.38,12.21,12.3,1032689,1271376.407
2025-08-05,12.3,12.5,12.28,12.47,1132078,1405152.349
2025-08-06,12.47,12.52,12.4,12.46,690447,859684.675
2025-08-07,12.44,12.53,12.39,12.47,722053,900760.013
2025-08-08,12.48,12.53,12.39,12.4,829795,1032586.759
2025-08-11,12.4,12.42,12.27,12.3,934353,1150305.113
2025-08-12,12.3,12.4,12.3,12.33,680056,839635.63
2025-08-13,12.37,12.4,12.23,12.26,1119813,1376777.909
2025-08-14,12.27,12.34,12.19,12.2,1241041,1523447.932
2025-08-15,12.23,12.23,11.94,12.08,1948502,2344073.499
2025-08-18,12.06,12.15,12.03,12.08,1239058,1496527.039
2025-08-19,12.1,12.12,12.02,12.06,892859,1077380.173
2025-08-20,12.06,12.12,11.98,12.07,1048738,1265435.773
2025-08-21,12.05,12.19,12.03,12.15,1217418,1477053.292
2025-08-22,12.15,12.17,11.98,12.06,1644259,1979461.311
2025-08-25,12.12,12.53,12.1,12.45,3045087,3761289.076
2025-08-26,12.45,12.5,12.3,12.36,1383598,1709560.923
2025-08-27,12.32,12.36,12.05,12.06,1860049,2268070.721
2025-08-28,12.09,12.14,11.97,12.08,1653587,1991723.374
2025-08-29,12.05,12.22,12.03,12.05,1805125,2186232.853
2025-09-01,12.05,12.05,11.85,11.89,1858459,2214306.332
2025-09-02,11.85,11.99,11.84,11.98,1492715,1780010.209
2025-09-03,11.98,12.01,11.74,11.75,1367232,1619322.977
2025-09-04,11.76,11.77,11.6,11.74,1295300,1513956.779
2025-09-05,11.73,11.74,11.63,11.72,819661,957547.463
2025-09-08,11.71,11.78,11.67,11.7,924431,1083054.608
2025-09-09,11.71,11.78,11.68,11.75,860539,1009279.729
2025-09-10,11.74,11.79,11.71,11.77,792668,932170.201
2025-09-11,11.77,11.85,11.71,11.85,963931,1134234.367
2025-09-12,11.83,11.88,11.7,11.72,940385,1107449.057
2025-09-15,11.7,11.72,11.63,11.65,840386,980347.617
2025-09-16,11.66,11.71,11.61,11.64,708048,825169.464
2025-09-17,11.64,11.67,11.58,11.64,771128,896750.27
2025-09-18,11.65,11.66,11.38,11.41,1386160,1594827.2
2025-09-19,11.41,11.51,11.37,11.45,834651,955004.097
2025-09-22,11.44,11.47,11.37,11.38,596402,680158.439
2025-09-23,11.37,11.58,11.32,11.52,1341430,1543271.185
2025-09-24,11.51,11.62,11.43,11.46,1139583,1310214.181
2025-09-25,11.43,11.47,11.36,11.4,773275,881943.148
2025-09-26,11.39,11.44,11.32,11.4,753238,856917.688
2025-09-29,11.4,11.48,11.27,11.37,1176012,1334456.974
2025-09-30,11.37,11.37,11.29,11.34,832479,942224.081
2025-10-09,11.33,11.41,11.27,11.4,1047469,1187061.683
2025-10-10,11.37,11.49,11.36,11.43,1087947,1244213.513
2025-10-13,11.32,11.46,11.28,11.4,1168801,1328180.364
2025-10-14,11.39,11.6,11.36,11.57,1843428,2124120.304
2025-10-15,11.34,11.42,11.26,11.4,1271061,1443458.105
2025-10-16,11.38,11.55,11.36,11.54,1261936,1447841.585
2025-10-17,11.5,11.58,11.38,11.4,1039666,1193518.555
2025-10-20,11.41,11.45,11.27,11.42,952641,1081829.7
2025-10-21,11.4,11.47,11.39,11.43,761164,869658.08
2025-10-22,11.4,11.54,11.4,11.52,833703,957661.636
2025-10-23,11.52,11.71,11.5,11.63,1373111,1593155.218
2025-10-24,11.6,11.68,11.55,11.56,980475,1138026.681
2025-10-27,11.54,11.61,11.44,11.52,1239485,1428199.707
2025-10-28,11.53,11.58,11.42,11.47,821568,943626.835
2025-10-29,11.46,11.46,11.36,11.39,966213,1100783.363
2025-10-30,11.38,11.47,11.36,11.38,943770,1077182.643
2025-10-31,11.38,11.4,11.3,11.32,970192,1099179.193
2025-11-03,11.34,11.44,11.3,11.43,952326,1084422.504
2025-11-04,11.42,11.64,11.4,11.59,1503007,1737289.514
2025-11-05,11.59,11.6,11.5,11.52,794926,918112.474
2025-11-06,11.5,11.58,11.47,11.51,766585,882799.462
2025-11-07,11.52,11.58,11.5,11.55,734850,848177.984
2025-11-10,11.52,11.64,11.45,11.63,827208,957555.601
2025-11-11,11.62,11.69,11.57,11.67,886508,1033284.776
2025-11-12,11.7,11.79,11.65,11.68,1141325,1337963.805
2025-11-13,11.68,11.72,11.57,11.7,978991,1139765.204
2025-11-14,11.67,11.84,11.66,11.75,1316994,1551867.288
2025-11-17,11.75,11.75,11.62,11.67,995232,1161416.222
2025-11-18,11.65,11.69,11.57,11.59,670077,778887.578
2025-11-19,11.58,11.83,11.57,11.8,1334996,1565428.547
2025-11-20,11.79,11.99,11.74,11.85,1637039,1948415.94
