date,open,high,low,close,volume,amount
2026-06-15,122.0,123.4,117.55,121.2,66027054,7927025244.0
2026-06-16,123.0,130.6,123.0,128.45,57353181,7320556512.0
2026-06-17,130.2,145.4,129.5,144.8,64527354,8954383997.0
2026-06-18,152.8,169.45,152.1,161.0,80703358,12990872508.0
2026-06-22,185.15,191.5,180.8,187.65,75444096,14078380214.0
2026-06-23,179.0,179.2,134.85,143.8,169051421,26126277569.0
2026-06-24,149.55,157.4,130.0,154.0,158055489,22879385592.0
2026-06-25,167.3,193.65,165.2,182.4,108305209,19531216058.0
2026-06-26,169.1,169.1,144.4,157.0,153265199,23544667172.0
2026-06-29,141.1,154.1,136.6,146.8,94731474,13724197415.0
2026-06-30,142.4,159.2,142.1,149.0,65974790,9948427316.0
2026-07-02,126.65,128.05,103.45,109.6,175241517,20420082564.0
2026-07-03,102.5,122.95,102.5,116.8,193721814,22144221196.0
2026-07-06,118.45,118.75,103.0,108.7,91087290,9951534451.0
2026-07-07,95.0,98.74,82.0,91.7,198233251,17899985164.0
2026-07-08,100.0,101.0,80.3,82.74,174090158,15486543106.0
2026-07-09,95.14,97.22,82.66,96.0,193288197,17308565124.0
2026-07-10,93.0,98.86,89.32,89.4,108557475,10180822431.0
2026-07-13,76.0,76.0,58.78,59.9,304926757,20189797752.0
