date,open,high,low,close,volume,amount
2026-06-11,492.2,498.0,474.74,481.0,28249,1367099.553
2026-06-12,494.0,498.36,475.47,479.0,27260,1328394.942
2026-06-15,483.0,503.0,480.1,502.81,24528,1208351.667
2026-06-16,509.02,516.99,500.5,507.8,21417,1091768.745
2026-06-17,500.0,509.93,490.18,507.84,20538,1029110.239
2026-06-18,511.31,540.86,511.31,528.03,33572,1780292.339
2026-06-22,524.0,530.79,501.69,517.94,32504,1672289.518
2026-06-23,530.0,535.0,510.5,522.11,30318,1590636.083
2026-06-24,525.0,533.0,513.13,519.91,26895,1404701.47
2026-06-25,525.11,535.2,515.08,521.7,28878,1514226.235
2026-06-26,513.0,513.0,490.46,494.9,31023,1547749.811
2026-06-29,490.0,495.5,478.31,486.2,23579,1143264.697
2026-06-30,484.31,512.88,480.77,504.01,26415,1328069.246
2026-07-01,504.3,507.07,485.2,488.8,24259,1202831.542
2026-07-02,480.14,480.97,449.1,449.46,36409,1689610.737
2026-07-03,449.87,459.99,447.45,448.2,21545,975758.808
2026-07-06,447.02,449.0,428.28,435.5,21954,960888.354
2026-07-07,430.0,448.0,427.68,435.48,19410,847600.469
2026-07-08,431.7,439.6,426.03,433.0,17403,753891.645
2026-07-09,433.0,452.25,422.1,451.9,27484,1202033.398
2026-07-10,450.0,464.5,446.25,446.7,29394,1339593.752
2026-07-13,442.02,443.27,420.1,421.0,23612,1014595.47
